Question,Answer,Category,Disease_Name
ধান গাছে পাতা হলুদ হয়ে যাচ্ছে কেন,এটি নাইট্রোজেন ঘাটতি। প্রতিকার: ১) ইউরিয়া সার ৫০-৬০ কেজি/হেক্টর দিন ২) দুই ভাগে প্রয়োগ করুন ৩) মাটির আর্দ্রতা বজায় রাখুন ৪) অতিরিক্ত পানি জমতে দেবেন না।,Disease,পুষ্টি ঘাটতি
ধান গাছের গোড়া পচে যাচ্ছে,এটি শিকড় পচা রোগ। প্রতিকার: ১) জমির পানি নিষ্কাশন নিশ্চিত করুন ২) কার্বেন্ডাজিম ১ গ্রাম/লিটার স্প্রে ৩) আক্রান্ত গাছ তুলে ফেলুন ৪) মাটি জীবাণুমুক্ত করুন।,Disease,শিকড় পচা
ধানের শীষ বের হচ্ছে না,এটি পুষ্টির অভাবজনিত সমস্যা। প্রতিকার: ১) সুষম NPK সার দিন ২) মাটির পরীক্ষা করুন ৩) জৈব সার যোগ করুন ৪) নিয়মিত পর্যবেক্ষণ করুন।,Disease,পুষ্টি সমস্যা
ধান গাছ লম্বা হচ্ছে না,এটি মাটি ও পুষ্টির সমস্যা। প্রতিকার: ১) জৈব সার ব্যবহার করুন ২) মাটির pH ঠিক করুন ৩) সুষম সার প্রয়োগ ৪) আগাছা পরিষ্কার রাখুন।,Disease,মাটি সমস্যা
ধানের ফলন কম হচ্ছে,এটি পরিচর্যার অভাবে ফলন কম। প্রতিকার: ১) নিয়মিত সেচ দিন ২) সুষম সার দিন ৩) পোকা দমন করুন ৪) উন্নত জাত ব্যবহার করুন।,Disease,কম ফলন
ধান পাতায় সাদা দাগ পড়ছে,এটি ছত্রাক রোগ। প্রতিকার: ১) ম্যানকোজেব ২ গ্রাম/লিটার স্প্রে ২) প্রতি ১০ দিনে স্প্রে ৩) আক্রান্ত পাতা সরান ৪) জমি পরিষ্কার রাখুন।,Disease,ছত্রাক
ধান গাছে পোকা ধরেছে,এটি পোকা আক্রমণ। প্রতিকার: ১) ইমিডাক্লোপ্রিড ০.৫ মিলি/লিটার ২) হলুদ ফাঁদ ব্যবহার ৩) আগাছা পরিষ্কার ৪) নিয়মিত পর্যবেক্ষণ।,Disease,পোকা
ধান গাছ শুকিয়ে যাচ্ছে,এটি উইল্ট রোগ. প্রতিকার: ১) আক্রান্ত গাছ তুলে ফেলুন ২) মাটি জীবাণুমুক্ত করুন ৩) সেচ নিয়ন্ত্রণ ৪) প্রতিরোধী জাত ব্যবহার।,Disease,উইল্ট
ধানের শীষ কালো হয়ে যাচ্ছে,এটি রোগজনিত সমস্যা। প্রতিকার: ১) ফাংগিসাইড স্প্রে করুন ২) আক্রান্ত অংশ কেটে ফেলুন ৩) জমি শুকনা রাখুন ৪) বায়ু চলাচল নিশ্চিত করুন।,Disease,রোগ
ধান গাছে পানি জমে আছে,এটি জলাবদ্ধতা। প্রতিকার: ১) পানি নিষ্কাশন করুন ২) ড্রেন তৈরি করুন ৩) উঁচু বেডে চাষ করুন ৪) অতিরিক্ত সেচ বন্ধ করুন।,Disease,জলাবদ্ধতা
টমেটো গাছ ঝুলে পড়ছে,এটি উইল্ট রোগ। প্রতিকার: ১) রোগমুক্ত চারা ব্যবহার ২) কার্বেন্ডাজিম স্প্রে ৩) মাটি জীবাণুমুক্ত ৪) সেচ নিয়ন্ত্রণ।,Disease,উইল্ট
টমেটো ফল ফেটে যাচ্ছে কেন,এটি পানির ভারসাম্যহীনতা। প্রতিকার: ১) নিয়মিত সেচ দিন ২) হঠাৎ পানি বৃদ্ধি কমান ৩) মাল্চিং করুন ৪) মাটির আর্দ্রতা ঠিক রাখুন।,Disease,পানি সমস্যা
টমেটো গাছে ফুল ঝরে যাচ্ছে,এটি পুষ্টির অভাব। প্রতিকার: ১) পটাশ সার দিন ২) ফুল আসার সময় সার দিন ৩) নিয়মিত পানি দিন ৪) গাছ সুস্থ রাখুন।,Disease,পুষ্টি ঘাটতি
টমেটো পাতায় দাগ পড়ছে,এটি লিফ স্পট রোগ। প্রতিকার: ১) ম্যানকোজেব স্প্রে ২) আক্রান্ত পাতা সরান ৩) প্রতি ১০ দিনে স্প্রে ৪) গাছের দূরত্ব বজায় রাখুন।,Disease,লিফ স্পট
টমেটো গাছে পোকা ধরেছে,এটি পোকা আক্রমণ। প্রতিকার: ১) কীটনাশক ব্যবহার ২) হলুদ ফাঁদ ব্যবহার ৩) নিয়মিত পর্যবেক্ষণ ৪) আগাছা পরিষ্কার।,Disease,পোকা
টমেটো ফল পচে যাচ্ছে,এটি ফল পচা রোগ। প্রতিকার: ১) কার্বেন্ডাজিম স্প্রে ২) আক্রান্ত ফল তুলে ফেলুন ৩) পানি নিয়ন্ত্রণ ৪) পরিষ্কার পরিবেশ রাখুন।,Disease,ফল পচা
টমেটো পাতায় হলুদ দাগ,এটি লিফ স্পট। প্রতিকার: ১) ফাংগিসাইড স্প্রে ২) আক্রান্ত পাতা অপসারণ ৩) জমি পরিষ্কার ৪) নিয়মিত পর্যবেক্ষণ।,Disease,লিফ স্পট
টমেটো গাছ বাড়ছে না,এটি পুষ্টির অভাব। প্রতিকার: ১) NPK সার দিন ২) জৈব সার যোগ করুন ৩) মাটি পরীক্ষা করুন ৪) নিয়মিত পরিচর্যা।,Disease,পুষ্টি ঘাটতি
টমেটোতে সাদা পোকা,এটি সাদা মাছি। প্রতিকার: ১) ইমিডাক্লোপ্রিড স্প্রে ২) হলুদ স্টিকি ট্র্যাপ ৩) আগাছা পরিষ্কার ৪) প্রতি ৭ দিনে স্প্রে।,Disease,সাদা মাছি
টমেটো পাতায় ছিদ্র হচ্ছে,এটি পোকা আক্রমণ। প্রতিকার: ১) স্পাইনোসাড স্প্রে ২) আক্রান্ত পাতা কেটে ফেলুন ৩) আগাছা পরিষ্কার ৪) নিয়মিত পর্যবেক্ষণ।,Disease,পোকা
বেগুন গাছে ফল হচ্ছে না,এটি পরাগায়ন সমস্যা। প্রতিকার: ১) মৌমাছি আকর্ষণ করুন ২) সুষম সার দিন ৩) পানি নিয়ন্ত্রণ ৪) গাছ সুস্থ রাখুন।,Disease,ফল না হওয়া
বেগুন পাতায় দাগ পড়ছে,এটি লিফ স্পট রোগ। প্রতিকার: ১) ম্যানকোজেব স্প্রে ২) আক্রান্ত পাতা সরান ৩) নিয়মিত স্প্রে ৪) জমি পরিষ্কার।,Disease,লিফ স্পট
বেগুন গাছ শুকিয়ে যাচ্ছে,এটি উইল্ট রোগ। প্রতিকার: ১) আক্রান্ত গাছ তুলে ফেলুন ২) মাটি জীবাণুমুক্ত করুন ৩) সেচ নিয়ন্ত্রণ ৪) প্রতিরোধী জাত।,Disease,উইল্ট
বেগুন গাছে ফুল ঝরে যাচ্ছে,এটি ফুল ঝরা সমস্যা। প্রতিকার: ১) পটাশ সার দিন ২) পানি নিয়ন্ত্রণ ৩) তাপমাত্রা নিয়ন্ত্রণ ৪) গাছের যত্ন নিন।,Disease,ফুল ঝরা
